image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648416/books/Crime-Thriller/0000002.jpg","Man's Search For Meaning","Viktor E. Frankl","Paperback","4.5","9.66","$","","9781846041242","Crime-Thriller","dataset/Crime-Thriller/0000002.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648417/books/Crime-Thriller/0000003.jpg","Animal Farm","George Orwell","Paperback","4.0","7.98","$","10.3","9780141036137","Crime-Thriller","dataset/Crime-Thriller/0000003.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648418/books/Crime-Thriller/0000004.jpg","The Husband's Secret","Liane Moriarty","Paperback","4.0","9.33","$","9.99","9781405911665","Crime-Thriller","dataset/Crime-Thriller/0000004.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648420/books/Crime-Thriller/0000005.jpg","Gone Girl","Gillian Flynn","Paperback","4.0","9.55","$","10.5","9781780221359","Crime-Thriller","dataset/Crime-Thriller/0000005.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648421/books/Crime-Thriller/0000006.jpg","Ready Player One","Ernest Cline","Paperback","4.5","8.82","$","10.5","9780099560432","Crime-Thriller","dataset/Crime-Thriller/0000006.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648422/books/Crime-Thriller/0000007.jpg","The Dry","Jane Harper","Paperback","4.0","8.64","$","8.8","9780349142111","Crime-Thriller","dataset/Crime-Thriller/0000007.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648423/books/Crime-Thriller/0000008.jpg","Sister","Rosamund Lupton","Paperback","4.0","8.04","$","11.4","9780749942014","Crime-Thriller","dataset/Crime-Thriller/0000008.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648424/books/Crime-Thriller/0000009.jpg","To Kill a Mockingbird","Harper Lee","Paperback","4.5","8.54","$","","9780446310789","Crime-Thriller","dataset/Crime-Thriller/0000009.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648426/books/Crime-Thriller/0000010.jpg","Room","Emma Donoghue","Paperback","4.0","8.05","$","13.39","9780330519021","Crime-Thriller","dataset/Crime-Thriller/0000010.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648427/books/Crime-Thriller/0000011.jpg","Shantaram","Gregory David Roberts","Paperback","4.5","11.72","$","13.9","9780349117546","Crime-Thriller","dataset/Crime-Thriller/0000011.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648428/books/Crime-Thriller/0000012.jpg","Big Little Lies","Liane Moriarty","Paperback","4.5","9.55","$","9.8","9781405916363","Crime-Thriller","dataset/Crime-Thriller/0000012.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648429/books/Crime-Thriller/0000013.jpg","The Hate U Give","Angie Thomas","Paperback","4.5","8.0","$","10.5","9781406372151","Crime-Thriller","dataset/Crime-Thriller/0000013.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648431/books/Crime-Thriller/0000014.jpg","The Girl on the Train","Paula Hawkins","Paperback","4.0","9.65","$","11.4","9780552779777","Crime-Thriller","dataset/Crime-Thriller/0000014.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648432/books/Crime-Thriller/0000015.jpg","Bad Blood","John Carreyrou","Paperback","4.5","8.4","$","12.4","9781509868087","Crime-Thriller","dataset/Crime-Thriller/0000015.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648434/books/Crime-Thriller/0000016.jpg","Six of Crows: Collector's Edition","Leigh Bardugo","Hardback","4.5","14.51","$","18.0","9781510106284","Crime-Thriller","dataset/Crime-Thriller/0000016.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648435/books/Crime-Thriller/0000017.jpg","Gone Girl","Gillian Flynn","Paperback","4.0","9.18","$","11.4","9780753827666","Crime-Thriller","dataset/Crime-Thriller/0000017.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648436/books/Crime-Thriller/0000018.jpg","Sharp Objects","Gillian Flynn","Paperback","4.0","8.25","$","9.3","9780804138321","Crime-Thriller","dataset/Crime-Thriller/0000018.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648437/books/Crime-Thriller/0000019.jpg","The Curious Incident of the Dog in the Night-time","Mark Haddon","Paperback","4.0","8.7","$","9.5","9780099470434","Crime-Thriller","dataset/Crime-Thriller/0000019.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648439/books/Crime-Thriller/0000020.jpg","Friend Request","Laura Marshall","Paperback","4.0","5.23","$","11.4","9780751568356","Crime-Thriller","dataset/Crime-Thriller/0000020.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648440/books/Dictionaries-Languages/0000001.jpg","Bad Blood","John Carreyrou","Paperback","4.5","8.4","$","12.4","9781509868087","Dictionaries-Languages","dataset/Dictionaries-Languages/0000001.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648441/books/Dictionaries-Languages/0000002.jpg","The Elements of Style","William I. Strunk","Paperback","4.0","8.09","$","9.95","9780205309023","Dictionaries-Languages","dataset/Dictionaries-Languages/0000002.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648443/books/Dictionaries-Languages/0000003.jpg","Create This Book","Moriah Elizabeth","Paperback","4.5","17.05","$","","9780692452745","Dictionaries-Languages","dataset/Dictionaries-Languages/0000003.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648444/books/Dictionaries-Languages/0000004.jpg","Fear and Loathing in Las Vegas","Hunter S. Thompson","Paperback","4.0","8.3","$","11.49","9780007204496","Dictionaries-Languages","dataset/Dictionaries-Languages/0000004.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648446/books/Dictionaries-Languages/0000005.jpg","Publication Manual of the American Psychological Association","American Psychological Association","Paperback","3.5","30.49","$","","9781433805615","Dictionaries-Languages","dataset/Dictionaries-Languages/0000005.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648447/books/Dictionaries-Languages/0000006.jpg","The Etymologicon","Mark Forsyth","Paperback","4.0","5.71","$","11.4","9781785781704","Dictionaries-Languages","dataset/Dictionaries-Languages/0000006.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648449/books/Dictionaries-Languages/0000007.jpg","The Artist's Way","Julia Cameron","Paperback","4.0","12.61","$","21.1","9781509829477","Dictionaries-Languages","dataset/Dictionaries-Languages/0000007.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648450/books/Dictionaries-Languages/0000008.jpg","The Elements of Eloquence","Mark Forsyth","Paperback","4.5","4.91","$","11.4","9781785781728","Dictionaries-Languages","dataset/Dictionaries-Languages/0000008.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648451/books/Dictionaries-Languages/0000009.jpg","My Grammar and I (Or Should That Be 'Me'?)","Caroline Taggart","Paperback","4.0","3.95","$","8.8","9781843176572","Dictionaries-Languages","dataset/Dictionaries-Languages/0000009.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648452/books/Dictionaries-Languages/0000010.jpg","Bird By Bird","Anne Lamott","Paperback","4.0","12.23","$","15.05","9780385480017","Dictionaries-Languages","dataset/Dictionaries-Languages/0000010.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648454/books/Dictionaries-Languages/0000011.jpg","Eats, Shoots and Leaves","Lynne Truss","Paperback","4.0","8.58","$","11.4","9780007329069","Dictionaries-Languages","dataset/Dictionaries-Languages/0000011.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648455/books/Dictionaries-Languages/0000012.jpg","On Writing Well","William Zinsser","Paperback","4.5","13.02","$","16.95","9780060891541","Dictionaries-Languages","dataset/Dictionaries-Languages/0000012.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648456/books/Dictionaries-Languages/0000013.jpg","How to Read a Book","Charles Van Doren","Paperback","4.0","9.49","$","17.95","9780671212094","Dictionaries-Languages","dataset/Dictionaries-Languages/0000013.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648457/books/Dictionaries-Languages/0000014.jpg","Paperback Oxford English Dictionary","Oxford Dictionaries","Paperback","4.0","10.22","$","10.33","9780199640942","Dictionaries-Languages","dataset/Dictionaries-Languages/0000014.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648458/books/Dictionaries-Languages/0000015.jpg","Save the Cat!","Blake Snyder","Paperback","4.0","12.65","$","17.0","9781932907001","Dictionaries-Languages","dataset/Dictionaries-Languages/0000015.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648460/books/Dictionaries-Languages/0000016.jpg","The Reading Strategies Book","Jennifer Serravallo","Paperback","4.5","43.95","$","","9780325074337","Dictionaries-Languages","dataset/Dictionaries-Languages/0000016.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648461/books/Dictionaries-Languages/0000017.jpg","The Anatomy of Story","John Truby","Paperback","4.5","14.94","$","17.0","9780865479937","Dictionaries-Languages","dataset/Dictionaries-Languages/0000017.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648462/books/Dictionaries-Languages/0000018.jpg","Japanese from Zero!: 1","George Trombley","Paperback","4.5","25.86","$","33.4","9780976998129","Dictionaries-Languages","dataset/Dictionaries-Languages/0000018.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648464/books/Dictionaries-Languages/0000019.jpg","The Big Short","Michael Lewis","Paperback","4.5","10.6","$","11.4","9780393338829","Dictionaries-Languages","dataset/Dictionaries-Languages/0000019.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648465/books/Dictionaries-Languages/0000020.jpg","Invisible Women","Caroline Criado Perez","Hardback","4.5","18.75","$","21.1","9781784741723","Dictionaries-Languages","dataset/Dictionaries-Languages/0000020.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648466/books/Entertainment/0000001.jpg","Fantastic Beasts and Where to Find Them","J. K. Rowling","Hardback","4.5","11.05","$","21.5","9781408708989","Entertainment","dataset/Entertainment/0000001.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648467/books/Entertainment/0000002.jpg","Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay","J.K. Rowling","Hardback","4.0","15.14","$","18.0","9781408711705","Entertainment","dataset/Entertainment/0000002.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648469/books/Entertainment/0000003.jpg","Just Kids","Patti Smith","Paperback","4.0","9.43","$","12.4","9780747568766","Entertainment","dataset/Entertainment/0000003.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648470/books/Entertainment/0000004.jpg","Born to Run","Bruce Springsteen","Hardback","4.0","27.12","$","","9781471157790","Entertainment","dataset/Entertainment/0000004.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648472/books/Entertainment/0000005.jpg","Music Theory in Practice, Grade 1","Eric Taylor","Sheet music","4.0","7.26","$","","9781860969423","Entertainment","dataset/Entertainment/0000005.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648473/books/Entertainment/0000006.jpg","Scar Tissue","Anthony Kiedis","Paperback","4.0","10.66","$","13.9","9780751535662","Entertainment","dataset/Entertainment/0000006.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648474/books/Entertainment/0000007.jpg","John Thompson's Easiest Piano Course","John Thompson","Paperback","4.0","6.71","$","8.0","9780877180128","Entertainment","dataset/Entertainment/0000007.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648475/books/Entertainment/0000008.jpg","Fantastic Beasts and Where to Find Them","J. K. Rowling","Paperback","4.5","7.10","$","10.5","9780751574951","Entertainment","dataset/Entertainment/0000008.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648476/books/Entertainment/0000009.jpg","My Booky Wook","Russell Brand","Paperback","3.5","9.34","$","13.9","9780340936177","Entertainment","dataset/Entertainment/0000009.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648477/books/Entertainment/0000010.jpg","Moab Is My Washpot","Stephen Fry","Paperback","4.0","5.99","$","12.9","9780099457046","Entertainment","dataset/Entertainment/0000010.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648478/books/Entertainment/0000011.jpg","Darth Vader and Son","Jeffrey Brown","Hardback","4.0","9.61","$","12.9","9781452106557","Entertainment","dataset/Entertainment/0000011.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648480/books/Entertainment/0000012.jpg","Music Theory in Practice, Grade 2","Eric Taylor","Sheet music","4.5","6.99","$","7.0","9781860969430","Entertainment","dataset/Entertainment/0000012.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648481/books/Entertainment/0000013.jpg","Harry Potter: Collectible Quidditch Set","Running Press","Paperback","5.0","18.32","$","22.99","9780762459452","Entertainment","dataset/Entertainment/0000013.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648482/books/Entertainment/0000014.jpg","Music Theory in Practice, Grade 3","Eric Taylor","Sheet music","4.0","7.57","$","7.8","9781860969447","Entertainment","dataset/Entertainment/0000014.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648484/books/Entertainment/0000015.jpg","Music Theory in Practice, Grade 5","Eric Taylor","Sheet music","4.5","8.80","$","","9781860969461","Entertainment","dataset/Entertainment/0000015.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648485/books/Entertainment/0000016.jpg","Piano Adventures","Nancy Faber","Paperback","4.0","7.43","$","9.0","9781616770785","Entertainment","dataset/Entertainment/0000016.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648486/books/Entertainment/0000017.jpg","The Happiest Refugee","Anh Do","Paperback","4.0","20.87","$","","9781742372389","Entertainment","dataset/Entertainment/0000017.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648489/books/Entertainment/0000018.jpg","Life","Keith Richards","Paperback","4.0","11.18","$","13.9","9780753826614","Entertainment","dataset/Entertainment/0000018.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648490/books/Entertainment/0000019.jpg","Daisy Jones and The Six","TAYLOR JENKINS REID","Hardback","4.0","14.67","$","16.0","9781786331502","Entertainment","dataset/Entertainment/0000019.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648492/books/Entertainment/0000020.jpg","Me Talk Pretty One Day","David Sedaris","Paperback","4.0","7.38","$","11.4","9780349113913","Entertainment","dataset/Entertainment/0000020.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648493/books/Food-Drink/0000001.jpg","Ottolenghi SIMPLE","Yotam Ottolenghi","Hardback","4.5","28.6","$","31.5","9781785031168","Food-Drink","dataset/Food-Drink/0000001.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648494/books/Food-Drink/0000002.jpg","5 Ingredients - Quick & Easy Food","Jamie Oliver","Hardback","4.0","25.92","$","32.5","9780718187729","Food-Drink","dataset/Food-Drink/0000002.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648496/books/Food-Drink/0000003.jpg","Jamie's 30-Minute Meals","Jamie Oliver","Hardback","4.0","27.39","$","31.5","9780718154776","Food-Drink","dataset/Food-Drink/0000003.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648497/books/Food-Drink/0000004.jpg","Jamie's 15-Minute Meals","Jamie Oliver","Hardback","4.0","27.3","$","31.5","9780718157807","Food-Drink","dataset/Food-Drink/0000004.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648498/books/Food-Drink/0000005.jpg","The Little Book of Hygge","Meik Wiking","Hardback","3.5","11.61","$","11.99","9780241283912","Food-Drink","dataset/Food-Drink/0000005.jpg"
